StnName,ID_GIS_gag,Dams/Hps,Evidence of reg,station_el,longitude,latitude,Z,xcoord,ycoord,Qmean,Pmean,Gewaesser,Station,Area,Mean_altitude
SO-3507,208,No,0,461,7.516560267,47.13762563,461.2102203,2605911.972,1220741.352,365.2,1023.28,Limpach,Kyburg,73.338004,516.6036432
SO-2501,209,No,0,484.6499939,7.691364257,47.31312286,485.6463852,2619110.169,1240280.38,558.35,1153.1,Augstbach,Balsthal,62.667488,808.5314315
SO-2503,210,No,0,481.6700134,7.662789054,47.31115808,482.6157227,2616950.155,1240055.393,492.62,1255.04,Dünnern,Laupersdorf,67.636272,831.4370568
SO-2502,211,No,0,472.2999878,7.697527405,47.30222582,473.0133667,2619580.164,1239070.371,563.39,1204.42,Dünnern,Balsthal,140.960132,806.3932804
SO-4501,214,No,0,416.3299866,7.894540267,47.36331847,419.4067612,2634440.292,1245930.317,683.78,1044.65,Dorfbach,Trimbach,9.396804,679.5579106
SO-4503,215,No,0,430.0100098,7.95137003,47.38106919,432.0284271,2638720.328,1247930.301,474.48,1010.73,Lostorferbach,Lostorf,6.078736,669.2891228
SO-1502,216,No,0,591.710022,7.607453722,47.35653919,593.1769714,2612755.163,1245090.447,791.03,1138.42,Lüssel,Beinwil,13.97976,864.7614146
SO-1505,217,No,0,450.8699951,7.542162545,47.37172649,455.0999451,2607820.146,1246770.488,771.3,1133.27,Lüssel,Erschwil,33.295772,797.8385238
SO-1501,218,No,0,384.6499939,7.541699828,47.40644482,388.3693314,2607780.169,1250630.51,1035.82,1105.22,Lüssel,Breitenbach,44.161164,738.4328304
SO-1503,219,No,0,550.7600098,7.588851391,47.39696733,551.5483093,2611341.183,1249582.482,479.27,1052.33,Ibach,Zullwil,7.040988,714.064597
SO-1504,220,No,0,519.0999756,7.585462089,47.42168782,521.1880646,2611080.199,1252330.499,364.15,1063.64,Chastelbach,Himmelried,11.441796,693.2739279
SO-1506,221,No,0,419,7.416903388,47.42588874,418.644989,2598361.129,1252787.581,602.91,1004.01,Lützel,Kleinlützel,47.741636,681.4320862
BE-A004,223,No,0,0,7.348151174,47.24374506,661.7192841,2593149.973,1232540.499,493.48,1149.87,Birse,Court,102.71126,941.5330345
BE-A025,230,No,0,457.2000122,7.802117049,47.23385411,458.8782043,2627525.162,1231500.278,497.69,1236.55,Langete,Roggwil,129.4388,688.9029709
BE-A029,231,No,0,439.9299927,7.698377185,47.20503651,440.1551666,2619680.097,1228265.309,539.39,1186.22,Oenz,Heimenhausen,81.542072,587.8323067
BE-A031,232,No,0,467.2399902,7.608355832,47.14053137,468.9464111,2612875.014,1221075.31,374.88,1157.39,Oesch,Koppigen,42.708552,552.4247149
BE-A042,233,No,0,496.2900085,7.542574724,47.07276051,498.1027374,2607894.938,1213532.299,332.45,1089.02,Urtenen,Kernenried,79.002956,564.1152941
BE-A047,234,No,0,433.7799988,7.287794725,47.10212107,435.2686157,2588549.849,1216802.438,407.44,998.08,Sagibach,Worben,12.114904,462.9945564
BE-A049,236,No,0,524.8800049,7.38569142,47.28082635,526.2544861,2595995.015,1236660.504,638.23,1259.15,Rauss,Moutier,41.098036,895.3434133
