lagtime	wtd_avg_RRD_p|all	se_p|all
0.666666666666667	0.00166508808008583	0.000305137512968174
2	0.00185141166413176	0.000186106040503203
4	0.00252110785830337	0.000202518975159517
6	0.00386202825981548	0.000211710612938447
8	0.00509891001539052	0.00021686762011875
10	0.00584900104414597	0.000219343771949154
12	0.00571362530782244	0.000220737222736606
14	0.00540268470865467	0.000221522015420195
16	0.00493631394149839	0.000221821288383787
18	0.00434449611342934	0.000221983177479708
20	0.00376298374557858	0.000222077003525843
22	0.00351776415493945	0.000222099063927469
24	0.00336655947427559	0.000222150937145893
26	0.0028183570239968	0.000222127187059338
28	0.00278171944302498	0.000222137448159582
30	0.00240006829404813	0.000222130374273328
32	0.00211313253007173	0.000222156960721625
34	0.00207891879372961	0.000222164966393261
36	0.00208777229209734	0.000222238464373965
38	0.00203174048041755	0.000222293765548393
40	0.00202257076124358	0.00022237219758856
42	0.00191654831473241	0.000222463473691518
44	0.00158988600024212	0.000222575018880042
46	0.00177138267703469	0.000222607247534562
48	0.00175178204409075	0.000222624363824123
50	0.00163968168758286	0.000222582838141753
52	0.00213942370821376	0.000222532963111548
54	0.00228148225649483	0.000222495212942652
56	0.00172007369623292	0.000222186528502831
58	0.00160200215592476	0.000221586029528926
60	0.00173344192742468	0.000220620521522048
