lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.00582190990680328	0.00224867829455364
1	0.0270938129358322	0.00118250633765502
2	0.0620217795158561	0.00120937204868778
3	0.0640929455584402	0.00121944657571819
4	0.0608323325544153	0.00122515698808537
5	0.0572580999176463	0.00122851858434555
6	0.0444235155545078	0.00123028992476543
7	0.0405789102208394	0.00123127278392723
8	0.0321411771994657	0.00123168015330491
9	0.0281925406379524	0.00123156501471859
10	0.0260449572530603	0.00123171531417753
11	0.0212284416589801	0.00123155618995035
12	0.0178748130497907	0.00123132979945729
13	0.0156245173228608	0.0012310673217444
14	0.0170016592155323	0.0012312070705854
15	0.0144351852798102	0.00123136225620183
16	0.014780034791711	0.00123117823237978
17	0.0149838843880284	0.00123120090718615
18	0.0126639277119834	0.00123058196910403
19	0.0114848884264836	0.00123058843547847
20	0.00998864863014857	0.00123060598909744
21	0.0109045185155084	0.00123103948109349
22	0.00979543390194921	0.00123128258020205
23	0.0105661745289249	0.00123165175827895
24	0.0102760037278159	0.0012318350572619
25	0.00913046415780309	0.00123181744641406
26	0.00981066735629627	0.0012318601789017
27	0.0070865074442126	0.00123150648637594
28	0.00589633716401721	0.00123148483061841
29	0.00739833526468834	0.00123122264212228
30	0.0066361600389432	0.00123230628162337
31	0.00844472905315099	0.00123321704736584
32	0.00709472084366687	0.00123357901076012
33	0.00650339318759079	0.00123370697529309
34	0.00670754112977771	0.00123404823828532
35	0.00576795804304234	0.00123413694912942
36	0.00567527362484283	0.00123350004789176
37	0.00597227708443565	0.00123339614279622
38	0.00577133985491792	0.0012330969241979
39	0.00584057682433595	0.0012331874631265
40	0.00578341412729642	0.0012332701263134
41	0.00725370913521878	0.0012330615082608
42	0.00722007435267151	0.00123255440191771
43	0.00844269124081831	0.00123186671353241
44	0.00534526745460537	0.00123113961178582
45	0.00518697922153131	0.00123082454174365
46	0.00408683463924958	0.00122974015660212
47	0.00317095514421562	0.00122843542790699
48	0.00374807663962556	0.00122525435517058
49	0.00430207839244982	0.00121642288825743
50	0.00405191122666161	0.00120432367256874
