lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.00399806345946219	0.00201830798215132
1	0.0245717121642673	0.00106108480008221
2	0.0581061565822938	0.00108748287115473
3	0.0608819598393851	0.00109682143078373
4	0.0582728040598264	0.00110195593633175
5	0.0559914378083242	0.00110466697794282
6	0.0431828054759625	0.00110652576856386
7	0.0389280641718923	0.00110746133456338
8	0.0312838994232301	0.00110801169940826
9	0.0273517547495431	0.00110800613543148
10	0.0249379409598321	0.00110811489444263
11	0.0209828341653372	0.00110799706545428
12	0.0176921666541519	0.00110780453610282
13	0.0155871972741328	0.00110762678501213
14	0.016714588037735	0.00110766422081131
15	0.0140155489971426	0.00110772848664004
16	0.0147108599339311	0.00110760406498575
17	0.0147191487774623	0.00110760752979662
18	0.0124331469093603	0.00110713828346897
19	0.0115892732601631	0.00110714192839822
20	0.0102012652618278	0.00110713764355163
21	0.0105617839111937	0.00110747864478233
22	0.00923181655323998	0.0011077412254762
23	0.0103872535782055	0.0011079615635866
24	0.00994311833413843	0.00110813909044587
25	0.00892339139700271	0.00110824747478384
26	0.00932905309817189	0.00110831450503276
27	0.00718525991914303	0.00110811561025795
28	0.00578708969110509	0.00110819385998621
29	0.00688529429495586	0.00110801167586809
30	0.00645376834543613	0.00110898333797973
31	0.00786285455578018	0.00110977495421143
32	0.00684271277498604	0.00111011410124051
33	0.00637230739156354	0.00111020180666653
34	0.00644154490269897	0.00111043254713465
35	0.00561399235186296	0.00111048551008546
36	0.00559554782222576	0.00111000883331276
37	0.00583402157759444	0.00110994227916207
38	0.00572604028334365	0.00110979608137714
39	0.00582853212362545	0.00110992763195287
40	0.00577938297268812	0.00110996430634935
41	0.00676226850351527	0.00110993155396827
42	0.00692846366500014	0.00110968499021057
43	0.00837832711076159	0.00110911846068076
44	0.00569416755339308	0.00110849708648131
45	0.00522215332978335	0.00110822657916425
46	0.00381859000311018	0.001107412356671
47	0.00331436238193216	0.00110612257605369
48	0.00366720370735449	0.00110360298879301
49	0.00428826743301969	0.00109517121375652
50	0.00418571309863155	0.00108466115445991
