lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.00487107522056034	0.00205948882881873
1	0.0253802205137797	0.00108030752494821
2	0.0579813789683245	0.0011053063558601
3	0.0608331887172526	0.00111352163329571
4	0.057877321548876	0.00111708697492451
5	0.0548976510431422	0.00111905329105342
6	0.0436476852416333	0.00112060824894013
7	0.0398007321189277	0.00112117045935493
8	0.0314681373852307	0.00112160021033491
9	0.0268415360151326	0.00112155504636853
10	0.0246938123383103	0.00112167682085092
11	0.020735655565484	0.00112146570963802
12	0.017316217681926	0.00112134356160272
13	0.0155035548336227	0.00112107417042959
14	0.0162951212488133	0.00112104741576824
15	0.0135517083527572	0.00112101889157019
16	0.0142259042587821	0.00112076480311119
17	0.0145580345750665	0.00112073795123456
18	0.0127270943389999	0.00112014918115094
19	0.0120434061817943	0.0011200206397388
20	0.00995460247930391	0.00111990829405606
21	0.00978616440782105	0.0011197417333163
22	0.00861729577548971	0.001119690983772
23	0.00935134086487861	0.00111939006155466
24	0.0090299587837551	0.00111926668474418
25	0.00806272145436825	0.00111917366510586
26	0.00835196371698259	0.00111900532621536
27	0.00693891103603107	0.00111872299142204
28	0.00569501613410439	0.00111864286768448
29	0.00698816359971441	0.00111827817984421
30	0.00645311478990143	0.00111839103959805
31	0.00805292572733682	0.0011183846231086
32	0.00674118387982206	0.00111825225499747
33	0.00639662244681826	0.00111816728680655
34	0.00640714769279811	0.00111812370042775
35	0.00526598457316782	0.00111808482188075
36	0.00566449321817151	0.00111749634569861
37	0.00592989708397822	0.00111737847181644
38	0.00565235187363106	0.00111723091736269
39	0.0058804074273769	0.00111728412004673
40	0.00558557595382303	0.0011172050470674
41	0.00649436254348137	0.00111709519477378
42	0.00678014302613482	0.0011167919690915
43	0.00818860719198139	0.00111613811686928
44	0.00566057074461311	0.00111561576158467
45	0.00522516726121265	0.00111524939832809
46	0.00410058387964454	0.00111426532164543
47	0.00348688432821745	0.00111301427195609
48	0.00338915212617275	0.0011105452931575
49	0.00403259879567912	0.00110231575581774
50	0.00382852834138237	0.00109211288246464
