,,,,,,QUALITY,,,,,RESPONSE VARIABLEN,,Klimaangaben [mm],,,,,,Höhenangaben [m],,,,,Hangneigungsklassen [%],,,,,,,,,,,,,,Abflussakkumulation [no. raster cells],,,,,,,Speichervermoegen [%],,,,,,,Durchlaessigkeit [%],,,,,,Vernaessung [%],,,,,Gruendigkeit [%],,,,,,Bodennutzung [%],,,,,,,,,,,Bodenbedeckung [%],,,,,,,,,Geologie / tektonische Einheiten [%],,,,,,,,,,,,,,,,,,,,,,Geologie / Lithologie [%],,,,,,,,,,,,,,,,,Geologie / Chronostratigraphie [%],,,,,,,,,,,,Maechtigkeit Lockermaterial,,,,Geology CH 1:25000,,,,,,Quaternary Deposits  CH 1:25000,,,,,,,,
52,2321,Cassarate,Pregassona,BAFU,"74,5",3,3,,hydropeaking,"0,7172","0,6202",16523,"1860,07","1132,54","770,12","739,66","475,49","277,22",286,2115,991,"5,6199",1829,"27,39",0,0,0,1,"9,9256","16,7838","28,8070","31,0051","10,7482","2,1416","0,4697","0,1061","0,0128","1,1727",18026,2331,121,1199,5182,"0,2418","3,8653","66,0533","7,1832","21,4450","0,0000","0,0000","40,5503","0,0000","0,0000","1,7092","29,0881","67,7495","92,0455","94,7650","2,9707","0,0000","0,8111","25,9877","69,9186","2,8837","25,7445","0,0000","0,0000","30,5839","1,0070","8,2641","0,1670","22,0786","0,0000","68,4832","0,0000","0,0000","0,0000","0,0000","0,0000",695,105,3349,454,0,5,76,57441,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28391,0,0,0,0,0,"2,4959","0,0921","64,8897","0,0120","0,2697","11,9977","0,5076","0,0012","0,0000","0,0000","0,2365","15,7897","0,0000","2,7248","0,0120","0,1114","0,0000","70,9550","0,0000","0,0000","0,0000","0,6597","0,2532","0,0000","0,0000","0,0035","56,71","4,61","5,16","14,42","13,40","5,46","0,24","0,0","0,0","0,0","0,0","0,0","99,7","69,9","0,0","0,0","1,9","35,7","0,0","28,2","4,0","0,1"
53,2327,Dischmabach,"Davos, Kriegsmatte",BAFU,"43,4",1,1,,,"0,6717","0,6060",34546,"1033,72","641,15","398,23","465,56","319,93","152,28",1665,3145,2371,"6,0261",1480,"28,65",0,0,0,1,"7,4194","18,0492","27,4331","30,0619","12,6832","3,4131","0,8398","0,0992","0,0010","1,1905",159247,1505,590,5908,5709,"3,6728","21,3450","35,9082","2,0601","0,0000","0,0000","0,0000","16,5569","0,0000","0,0000","0,0000","9,6582","49,6551","57,3816","49,6551","0,0000","9,6582","0,0000","19,6574","47,5950","11,7182","0,0000","0,0000","0,0000","14,2063","0,0000","0,0000","24,4131","40,4048","0,0000","3,1055","31,1410","0,9357","0,0000","0,0000","0,0000",9193,25,1954,34097,1042,115,165,2652,63,0,0,0,0,0,0,0,0,40965,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","3,5551","54,5596","0,0000","0,0000","25,7398","5,6282","0,0000","0,0000","0,0000","6,6677","2,6352","0,0000","0,2781","0,0166","0,0000","0,0000","59,1024","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","1,8813","2,7488",,,,,,,,"0,0","0,0","0,0","0,0","0,0","100,0","59,1","0,0","0,0","1,1","43,3","0,0","14,4","0,0","0,2"
54,2333,Bied du Locle,La Rançonnière,BAFU,"35,1",3,2,3,,"0,3065","0,2904",10679,"1487,24","754,17","764,97","702,10","460,84","253,92",817,1336,1075,"2,2672",520,"11,02",1,0,0,0,"56,1896","28,2524","10,9194","3,7793","0,6378","0,1437","0,0567","0,0179","0,0033","1,0356",7495,1037,328,3320,6327,"0,2132","0,0000","1,4533","25,8407","60,2870","2,9538","0,0000","56,0576","0,0000","20,3253","17,9851","50,7711","1,4533","60,9913","82,9906","1,2681","4,5903","1,6858","26,5102","1,4533","50,7711","37,0404","1,2701","0,0000","43,8394","1,7233","8,4757","0,0000","63,4788","0,0000","26,3222","0,0000","0,0000","0,0000","0,0000","0,0000",73,14,45,52,0,19,3,26740,1823,0,0,0,0,0,0,0,0,0,65793,0,0,0,0,0,0,0,0,0,0,0,0,"19,3016","0,0000","2,9492","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","13,7920","0,0000","18,2932","0,7194","2,1145","0,0000","0,0000","0,0000","0,0000","90,62","1,97","1,83","2,81","1,96","0,80","0,00","99,9","0,0","0,0","0,0","0,0","0,0","13,9","0,0","5,0","0,4","6,0","2,1","0,4","0,0","0,0"
55,2342,Saltina,Brig,BAFU,"76,3",1,1,,,"0,9072","0,7975",18056,"1132,52","599,29","546,87","559,84","376,12","192,31",678,3421,2015,"6,9299",2743,"31,52",0,0,0,1,"6,4405","14,4067","23,2600","30,6214","16,9124","5,7140","2,0529","0,5420","0,0501","1,2533",163552,2102,153,1511,5236,"2,1435","15,8450","22,6338","23,8359","8,1527","0,1384","0,0000","27,6539","0,0000","0,0000","3,8210","33,7469","33,0380","62,3281","57,3854","13,2204","0,0000","0,0000","20,9566","38,4788","23,8359","8,1527","0,1384","0,0000","22,2325","0,0000","2,5296","10,5637","34,4753","0,0000","29,6342","18,3532","4,4440","0,0000","0,0000","0,0000",13157,20,2326,14539,3423,281,32,22223,3799,0,621,0,0,0,0,0,0,0,0,0,9499,17459,358,0,17791,0,0,0,0,0,0,"6,5127","5,3526","51,4002","0,0000","0,0819","16,6047","0,0290","0,0000","0,0000","0,0000","2,8811","14,8759","0,0000","0,0000","0,6792","0,0000","0,0000","65,1589","0,3320","0,0000","0,0000","0,0000","0,8328","0,0000","0,0000","0,0000","60,69","2,81","3,36","10,92","13,88","8,13","0,22","0,0","0,0","0,0","0,0","68,7","31,1","58,1","0,1","0,0","0,4","39,2","0,1","14,2","3,9","0,2"
56,2343,Langeten,"Huttwil, Häberenbad",BAFU,"59,8",2,1,,,"0,9632","0,8564",28200,"1300,47","716,22","610,49","767,79","498,85","282,57",596,1118,762,"2,2816",521,"12,21",1,0,0,0,"48,6897","34,0808","12,4975","3,8428","0,8271","0,0576","0,0040","0,0005","0,0000","1,0378",108677,1712,682,6824,6143,"1,8178","0,0000","0,0000","0,0000","19,6814","77,8802","0,0000","78,0211","0,0000","0,0000","60,7102","36,8514","0,0000","65,9072","7,8750","75,2713","11,4673","2,9480","51,1528","0,0000","0,0000","34,0966","46,2949","17,1700","74,6639","0,3937","5,2925","0,0000","79,4652","0,0000","14,8486","0,0000","0,0000","0,0000","0,0000","0,0000",6,10,0,9,0,8,0,19050,0,0,0,0,21417,0,0,0,0,0,0,52206,0,0,0,0,0,0,0,0,0,0,0,"2,0519","0,0000","24,1952","0,1197","0,0034","0,6226","0,0034","0,0000","0,0000","0,0000","0,0000","0,6191","0,0000","0,0000","1,4327","0,0000","0,0000","26,4894","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","77,16","2,02","2,04","2,39","1,87","4,68","9,84","0,0","53,8","46,2","0,0","0,0","0,0","26,5","0,1","0,0","13,3","6,9","3,8","2,4","0,0","0,0"
57,2347,Riale di Roggiasca,"Roveredo, Bacino di compenso",BAFU,"8,1",1,3,,"poor data without reason, average βyear too small","0,4211","0,3477",9095,"1591,36","1005,55","611,09","568,68","375,12","202,78",964,2315,1707,"7,9749",1350,"35,42",0,0,0,1,"2,1780","8,2612","22,6378","33,8025","20,7176","8,5895","3,1494","0,6423","0,0216","1,3085",55620,540,28,254,4564,,"56,6762","17,6861","9,4597","0,0000","0,0000","0,0000","20,0712","0,0000","0,0000","0,0000","0,0000","83,8220","83,8220","83,8220","0,0000","0,0000","0,0000","20,9555","74,3623","9,4597","0,0000","0,0000","0,0000","18,6563","0,0000","0,0000","14,8213","40,1546","0,0000","45,0241","0,0000","0,0000","0,0000","0,0000","0,0000",7091,0,19786,10464,0,132,318,38472,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3141","0,0548","30,2369","0,0000","0,0000","42,4347","21,9126","0,0000","0,0000","0,0000","2,9177","1,4740","0,0000","0,4556","0,0000","0,0000","0,0000","29,8389","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000",,,,,,,,"0,0","0,0","0,0","0,0","99,2","0,2","29,8","0,0","0,0","0,0","17,9","0,0","11,9","0,0","0,1"
58,2349,Breggia,"Chiasso, Ponte di Polenta",BAFU,"32,4",3,2,,,"0,0848","0,0617",9120,"1722,66","1003,37","755,43","794,37","508,80","299,55",249,1700,838,"6,9884",1451,"33,21",0,0,1,0,"4,2685","5,8628","18,9246","49,1876","18,3184","2,7723","0,5571","0,1037","0,0050","1,2347",12154,2005,53,540,4757,"0,3751","7,6394","84,2024","0,0000","3,4287","0,5578","0,0000","32,0913","0,0000","0,0000","3,4287","92,3996","0,0000","75,9769","95,4947","0,3336","0,0000","0,0000","24,0405","91,8418","0,0000","3,4287","0,5578","0,0000","20,8718","0,0398","2,4793","0,0000","14,3968","0,6674","82,4167","0,0000","0,0000","0,0000","0,0000","0,0000",345,68,255,40,0,1,0,50571,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38437,0,0,0,0,0,"51,2528","0,0000","9,2346","0,0000","0,0000","0,0000","0,0000","0,0000","0,0057","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","32,0527","0,0000","0,1203","38,2970","13,2750","0,0000","0,0000","0,0000","0,0000",,,,,,,,"0,0","0,0","0,0","0,0","0,0","0,0","23,3","0,2","0,0","1,4","3,8","0,0","17,3","0,6","0,0"
59,2352,Linth,"Linthal, Ausgleichsbecken KLL, nur Haupt",BAFU,"145,7",1,3,,hydropeaking,"1,3897","1,3165",8622,"1898,68","1115,22","802,26","462,73","312,24","157,64",667,3612,2079,"8,3321",2945,"32,37",1,0,0,0,"10,1517","14,9610","20,3957","25,5672","14,0348","7,1026","4,3976","2,7629","0,6265","1,3830",172313,2449,963,9635,5411,"1,1830","10,6185","13,2670","8,3127","5,1227","0,0000","0,0000","13,7636","1,2898","4,3338","5,9496","24,6939","1,0538","26,3701","30,8889","2,9254","0,8084","2,6983","12,4894","23,8855","9,9572","3,4782","0,0000","0,0000","10,8469","0,0000","0,0051","8,4995","29,4572","0,0000","9,9619","40,8881","10,0283","0,0000","0,0000","1,1599",28173,97,1763,21579,9383,1575,28,9300,685,54465,2145,0,0,3315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,8774","14,7516","17,5439","2,2617","2,4505","0,4105","1,4072","0,0000","2,1003","0,0000","0,2593","9,2057","0,0000","0,0000","0,2227","0,2227","0,0000","40,4806","0,0000","0,0000","0,0000","0,0177","0,8875","0,0000","0,0000","0,0000","75,71","2,78","3,05","6,60","5,54","4,70","1,63","0,0","0,0","0,0","0,0","87,6","12,4","40,6","0,0","0,0","1,8","20,8","0,0","16,6","0,8","0,4"
60,2355,Landwasser,"Davos, Frauenkirch",BAFU,"185,0",1,3,,residual water,"0,6370","0,6088",32224,"1067,36","658,97","415,05","501,49","341,66","167,49",1487,3145,2220,"5,5497",1658,"26,74",0,0,0,1,"9,6125","20,6170","28,9600","27,6534","9,9667","2,3969","0,6709","0,1169","0,0058","1,1678",152969,2716,1062,10645,5695,"0,8267","14,0096","43,6395","9,8429","1,1578","1,2397","0,0000","23,6079","0,0000","1,2397","0,2725","14,9822","53,3952","66,0404","56,7351","6,5751","5,3397","1,2397","22,7158","52,3095","13,1652","4,4149","0,0000","0,0000","18,3769","0,0000","2,0046","18,2637","42,8809","0,0000","14,9518","21,2031","0,3717","0,0000","0,0000","0,3242",6338,93,1370,23256,432,444,440,13147,386,0,0,0,0,0,0,1093,261,29035,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9024","1,7612","69,2468","0,0143","0,1612","18,1574","2,8971","0,0160","0,0000","0,0000","4,2799","1,6115","0,0000","0,1065","0,0278","0,0556","0,0000","71,3101","0,0000","0,0000","0,2612","0,0016","3,7331","0,0940","8,4508","4,6052",,,,,,,,"0,0","0,0","0,0","0,0","4,9","95,1","70,9","0,1","0,0","1,1","48,9","0,2","18,9","1,3","0,5"
61,2356,Riale di Calneggia,"Cavergno, Pontit",BAFU,"23,9",1,2,,,"0,4418","0,3720",6650,"1901,66","1105,12","839,81","473,64","318,77","161,60",880,2916,1991,"8,7473",2036,"35,89",0,1,0,0,"3,4644","9,4121","22,7989","30,7198","16,0533","9,5506","5,7476","2,0357","0,2175","1,3807",56943,1106,78,728,4988,"2,3835","33,7414","0,4907","9,8331","0,0000","0,0000","0,0000","10,7037","0,0000","0,0000","0,0000","0,0000","44,0653","44,0653","44,0653","0,0000","0,0000","0,0000","11,0163","34,2322","4,2793","5,5539","0,0000","0,0000","11,8905","0,0000","0,0000","16,3597","4,6637","19,5963","21,7563","37,6239","0,0000","0,0000","0,0000","0,0000",38522,0,6579,27484,112,1424,13,8757,1861,0,0,0,0,0,0,0,0,0,0,0,20259,0,0,0,35238,0,0,0,0,0,0,"0,0000","1,0903","28,6581","0,0000","0,0000","33,5546","21,8263","0,0000","0,0000","0,0000","0,0000","0,1169","0,0000","0,0000","0,0000","0,0000","0,0000","44,4674","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","84,24","2,45","2,30","5,30","3,95","1,72","0,04","0,0","0,0","0,0","0,0","99,9","0,0","44,2","0,0","0,0","0,4","0,9","0,0","41,7","0,0","1,1"
62,2364,Ticino,Piotta,BAFU,"158,0",1,3,,"residual water, hydropeaking","0,4581","0,4451",42606,"1858,26","1057,18","841,91","488,43","331,25","164,37",1006,3169,2063,"6,5523",2163,"30,25",0,0,1,0,"8,1492","15,9175","24,3268","28,5860","15,0633","5,5573","1,9828","0,4106","0,0064","1,2330",109128,3150,257,2596,5321,"0,6907","19,2170","24,6907","17,7467","12,8501","0,0000","0,0000","28,8731","0,0000","0,0000","1,3004","43,9319","29,2721","65,1979","67,1209","6,3448","1,0388","0,0000","20,7317","42,3391","19,3152","12,8501","0,0000","0,0000","23,9040","0,0000","0,9818","10,6467","48,2317","0,0000","19,1406","19,9260","0,7315","0,0000","0,0000","0,3417",13409,75,4700,17976,606,582,198,14972,561,1,25547,0,0,592,0,0,0,0,0,0,0,1740,12653,0,2286,0,0,0,0,0,0,"6,3072","1,8043","56,8788","0,0147","0,6782","16,4428","3,7283","0,0000","0,0000","0,8786","2,8091","13,6103","0,0000","0,0000","0,0060","0,0000","0,0000","67,1824","13,0002","0,0000","0,0000","0,0000","0,1755","0,0000","0,0000","0,0000","69,97","4,10","4,26","9,87","7,52","3,65","0,63","0,0","0,0","0,0","0,0","100,0","0,0","62,2","0,5","0,0","1,0","29,4","0,2","27,7","2,9","0,6"
63,2366,Poschiavino,La Rösa,BAFU,"14,4",1,2,,,"0,9550","0,9100",35357,"1440,85","875,24","597,85","507,73","345,52","169,70",1856,3029,2290,"5,5943",1173,"26,94",0,1,0,0,"10,4864","19,2801","27,5653","28,7606","11,0306","2,3052","0,4858","0,0839","0,0020","1,1684",30021,756,114,1206,5380,"2,0816","40,3445","30,4675","17,1771","0,0000","0,0000","0,0000","25,4685","0,0000","0,0000","0,0000","9,9381","78,0510","86,0014","78,0510","0,0000","9,9381","0,0000","26,9663","60,8739","27,1152","0,0000","0,0000","0,0000","23,0209","0,0000","0,0000","34,0455","49,9813","0,0000","6,2529","9,7204","0,0000","0,0000","0,0000","0,0000",4540,0,1541,19360,0,92,582,6276,2846,0,0,0,0,0,0,36153,0,19870,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0000","0,1613","48,5777","0,4180","3,7333","34,8268","5,0034","0,0000","0,0000","0,0000","1,2352","10,6966","0,0000","0,0000","0,0000","0,1095","0,0000","50,7369","0,0000","0,0000","0,0000","0,0000","0,0363","0,0000","0,0000","0,0000",,,,,,,,"0,0","0,0","0,0","0,0","58,0","41,8","45,8","0,0","0,0","0,0","21,1","1,6","20,9","2,0","0,2"
64,2369,Mentue,"Yvonand, La Mauguettaz",BAFU,"105,6",2,1,,,"0,2883","0,2428",16582,"1062,85","574,35","510,57","760,85","494,42","279,21",446,927,682,"1,4187",481,"7,45",0,0,0,1,"80,0114","12,1291","4,4811","2,3146","0,8437","0,1807","0,0341","0,0052","0,0001","1,0213",256241,3416,1343,13443,6810,"2,4269","0,0000","0,0000","0,0000","23,4619","76,5381","0,0000","79,4230","0,0000","0,0023","23,4619","76,5359","0,0000","75,3067","99,9977","0,0000","0,0000","0,0023","25,0017","0,0000","0,0000","23,4641","76,5359","0,0000","75,3072","0,0000","2,7155","0,0000","67,3327","1,2008","28,7510","0,0000","0,0000","0,0000","0,0000","0,0000",25,216,6,40,0,18,29,28471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0044","0,0008","52,1542","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","59,2648","0,0000","44,9683","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","50,66","3,59","3,44","8,54","13,64","17,73","2,40","0,0","0,0","33,7","66,3","0,0","0,0","55,5","0,6","0,0","2,2","46,5","3,3","0,0","2,8","0,1"
65,2371,Orbe,"Le Chenit, Frontière",BAFU,"21,5",3,2,,,"0,2200","0,1703",9480,"1806,35","886,97","940,48","615,13","404,90","221,43",1039,1567,1346,"2,7347",528,"14,04",0,0,0,1,"35,5927","41,3291","18,9749","3,5725","0,3973","0,0934","0,0287","0,0106","0,0007","1,0451",2063,768,128,1282,5912,,"0,0000","8,0457","28,3552","57,7021","5,8970","0,0000","60,2417","0,0000","6,9129","0,1839","84,8575","8,0457","78,8072","94,1030","0,4362","0,0000","5,4608","29,2047","8,0457","84,8575","6,4766","0,6202","0,0000","39,9343","0,0000","7,0996","0,0000","30,7952","0,0000","54,1022","0,0000","0,0000","5,9805","0,0000","2,0225",112,0,254,67,0,1,212,26864,5811,0,0,0,0,0,0,0,0,0,33036,0,0,0,0,0,0,0,0,0,0,0,0,"48,2314","0,0000","0,0477","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","4,7995","0,0000","0,0000","0,0233","15,2014","0,0000","0,0000","0,0000","0,0000",,,,,,,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
66,2372,Linth,"Mollis, Linthbrücke",BAFU,"614,5",1,3,,hydropeaking,"1,4173","1,2917",12793,"1861,88","1077,68","806,69","546,53","360,51","195,25",434,3612,1723,"7,4853",3178,"31,24",1,0,0,0,"10,4348","14,3539","21,3541","27,8890","14,5705","6,1395","3,2394","1,6801","0,3388","1,3116",160882,6256,2402,24055,5380,"0,2618","15,2332","24,5389","17,8078","6,4832","0,2153","0,3089","24,4329","1,5852","6,8749","14,1330","40,4763","1,5179","45,4458","53,2701","8,1003","0,5620","2,6550","20,4441","39,7721","19,1190","5,0708","0,6254","0,0000","19,1448","0,2186","1,6538","8,5287","39,8954","0,0000","23,5369","22,2436","3,1372","0,0000","0,0000","0,7858",18987,180,3395,12962,3017,982,192,19603,457,52038,8009,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,3982","5,7587","22,0727","3,7313","2,5996","0,2220","0,3305","0,0000","6,4689","0,0000","0,1774","6,7104","0,0000","0,0000","1,8573","1,8573","0,0000","40,2892","0,0000","0,0000","0,0000","0,0042","0,9843","0,0000","0,0000","0,0000","77,60","2,67","2,77","6,11","4,44","3,31","3,10","0,0","0,0","0,0","0,0","38,6","61,4","40,3","0,0","0,6","2,0","14,9","0,1","20,8","1,0","0,8"
67,2374,Necker,"Mogelsberg, Aachsäge",BAFU,"88,0",2,1,,,"0,5266","0,4378",7998,"1685,19","954,79","766,50","662,89","427,20","247,69",605,1531,955,"3,8763",927,"19,73",1,0,0,0,"21,1439","35,4933","24,6573","13,3284","4,2110","0,8572","0,2302","0,0710","0,0078","1,0958",128567,3153,1209,12102,5510,"1,4606","0,0000","1,8784","18,7159","12,1768","39,5917","27,6373","78,7323","0,0000","24,0422","75,9578","0,0000","0,0000","55,1916","20,5942","37,1698","39,5883","2,6478","56,0724","0,0000","20,5942","51,7684","27,6373","0,0000","61,4086","0,0000","1,6208","0,0000","58,6079","0,0000","39,7713","0,0000","0,0000","0,0000","0,0000","0,0000",429,285,0,161,0,10,1697,34806,22,0,0,54320,4851,0,0,0,0,0,0,14262,0,0,0,0,0,0,0,0,0,0,0,"0,8982","0,2377","16,4420","0,7493","6,9876","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","34,3315","0,0000","0,0000","26,9743","0,0000","41,3218","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","80,07","2,33","2,78","6,16","4,11","3,96","0,60","0,0","13,7","11,8","74,4","0,0","0,0","26,7","0,2","0,0","2,5","18,5","1,8","2,4","1,4","0,0"
68,2378,Orbe,"Orbe, Le Chalet",BAFU,"255,5",3,2,,,"0,6325","0,6378",7138,"1693,64","814,81","913,12","637,41","418,33","230,55",449,1679,1124,"2,3422",1230,"11,47",1,0,0,0,"52,6456","30,2332","11,3829","4,4009","0,9150","0,2607","0,1169","0,0420","0,0028","1,0411",82430,2398,208,2088,6075,"0,3226","0,0000","4,1741","25,7458","61,5805","3,3966","0,0000","58,1485","0,0000","12,2126","20,3344","49,8586","12,4913","69,4640","88,3825","0,7949","3,8159","1,9037","27,2587","4,1741","57,4779","24,1272","9,1179","0,0000","45,5966","0,0000","3,3873","0,0000","31,2029","1,0423","59,4567","0,0000","0,0000","1,8100","0,0000","3,1007",164,104,168,88,0,2893,303,40467,3191,0,0,0,0,0,0,0,0,0,55321,0,9516,0,0,0,0,0,0,0,0,0,0,"13,3148","2,9383","2,7338","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","31,7454","0,0000","0,1383","0,4223","9,3172","0,0000","0,0000","0,0000","0,0000",,,,,,,,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
69,2386,Murg,Frauenfeld,BAFU,"209,4",2,1,,,"0,4556","0,3892",13972,"1202,51","663,10","564,52","770,40","496,58","287,47",390,1037,592,"1,8275",647,"9,57",1,0,0,0,"67,8284","17,6835","8,3888","4,4555","1,4661","0,1592","0,0155","0,0030","0,0000","1,0333",56717,4347,1708,17105,6570,"0,2709","0,0000","0,0000","0,0000","37,7325","51,2306","8,8903","76,7374","0,0014","27,4854","62,8289","4,0552","3,4824","55,4183","28,8708","17,2174","40,1986","11,5665","57,5418","0,0000","0,0000","49,5508","48,3025","0,0000","68,3725","0,2863","11,6845","0,1433","58,5926","0,0000","29,1548","0,0000","0,0000","0,1385","0,0000","0,0000",16,158,6,119,0,187,408,27737,0,0,0,0,0,0,0,0,0,0,0,30060,0,0,0,0,0,0,0,0,0,0,0,"0,0272","0,2753","70,1452","0,0000","2,5893","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","2,6323","0,0000","0,0000","10,6680","0,0000","15,6608","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","32,86","3,04","3,65","10,90","13,63","23,12","12,82","0,0","100,0","0,0","0,0","0,0","0,0","73,2","0,1","10,1","3,5","52,3","1,5","4,9","0,8","0,1"
70,2409,Emme,"Eggiwil, Heidbüel",BAFU,"126,8",2,1,,,"0,2773","0,1985",5089,"1650,72","931,83","734,88","627,83","409,63","229,19",741,2221,1286,"4,9227",1480,"23,58",1,0,0,0,"15,6194","28,9744","25,2858","18,7747","7,7683","2,3412","0,8587","0,3151","0,0624","1,1512",180399,3799,1489,14885,5480,"1,4224","6,6855","11,5562","31,2911","30,9951","13,6390","0,0215","52,6627","21,4273","22,1220","29,7507","20,8884","0,0000","47,6954","46,0790","9,8236","11,3989","26,8870","51,8677","15,8579","62,1373","12,3345","1,3609","2,4978","39,0137","0,0000","0,0000","4,6470","55,1703","0,2680","39,3190","0,5956","0,0000","0,0000","0,0000","0,0000",4355,241,545,3486,0,9,1005,31615,1379,15964,3842,6046,13979,0,13,0,6453,0,0,51,0,0,0,304,0,0,0,0,0,0,0,"8,6569","0,2548","36,6078","0,6388","0,8946","0,0000","0,0000","0,0000","11,7636","0,0000","0,0039","0,3095","0,0000","0,0000","0,0000","0,1922","0,0000","53,8362","0,0000","0,1441","0,0000","2,1112","0,0000","0,0000","0,0000","0,0000","61,62","3,76","4,64","13,17","11,33","5,32","0,17","0,0","0,2","32,9","12,3","0,0","54,5","51,6","0,0","0,0","2,3","20,9","6,7","17,1","4,5","0,0"
71,2410,Liechtensteiner Binn,Ruggell,BAFU,"106,7",3,3,,hydropeaking,"2,0257",,27963,"1176,42","721,03","479,06","757,95","483,94","288,18",433,2599,868,"4,9132",2166,"21,50",0,0,0,1,"39,3173","12,0682","11,7256","18,7995","11,4457","3,9534","1,8595","0,7282","0,1025","1,1869",21225,3675,987,10115,5976,"0,1989","22,8427","60,7555","10,4584","5,5672","0,0000","0,3460","33,3456","0,0000","5,9397","10,4319","83,5982","0,0000","75,5135","94,0301","0,3725","0,0000","5,5672","29,2609","83,5982","16,0256","0,0000","0,3460","0,0000","23,4066","2,3395","13,9627","2,5636","33,4496","0,0000","46,8675","0,1049","0,0000","0,4496","0,2626","0,0000",4093,145,1051,2215,0,108,111,37775,454,4281,84,0,0,0,0,0,0,0,0,0,0,8187,0,0,0,0,0,0,0,0,0,"3,1971","0,0000","29,5469","0,0000","0,0065","0,0000","0,0000","0,0000","2,4964","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","2,0151","0,0000","86,9704","0,0000","0,1386","5,7826","6,5679","0,0000","0,0000","0,0000","0,0000",,,,,,,,"0,0","0,0","0,0","0,0","0,0","100,0","64,3","38,5","0,0","9,1","5,6","0,1","11,0","0,0","0,0"
72,2412,Sionge,"Vuippens, Château",BAFU,"42,6",2,1,,,"0,4762","0,4248",9821,"1327,10","731,44","620,57","730,02","473,83","268,02",679,1413,869,"1,4220",734,"7,64",1,0,0,0,"72,3009","20,5195","5,4737","1,4652","0,2226","0,0165","0,0014","0,0003","0,0000","1,0184",262896,1874,753,7530,6780,,"0,0000","0,0000","2,6591","31,9842","49,0091","13,7820","77,2753","21,3943","13,0090","19,4007","43,6304","0,0000","56,0272","47,1669","4,7412","13,7820","31,7443","56,2431","0,0000","24,0533","23,0220","50,3590","0,0000","63,7218","3,1036","10,9853","0,0000","69,2142","0,2754","16,4216","0,0000","0,0000","0,0000","0,0000","0,0000",0,129,80,0,0,21,297,11148,0,0,423,1113,0,0,0,0,703,0,0,0,0,0,3,1337,0,0,0,0,0,0,0,"0,2783","0,0000","15,5192","0,0000","0,0000","0,0000","0,0000","0,0000","0,6974","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","97,6831","0,0000","0,2391","0,0205","0,0000","0,0000","0,0000","0,0000","0,0000","5,78","1,16","1,41","4,60","8,29","24,63","54,13","0,0","0,0","0,0","66,1","7,2","26,7","96,6","1,2","3,6","3,8","62,5","4,0","15,3","6,1","0,2"
