lagtime	wtd_avg_RRD_p|all	se_p|all
0.666666666666667	0.00175572645972173	0.000806058714853429
2	0.00746289502714966	0.000458002901391408
4	0.0144749478911958	0.000482390414988966
6	0.0144193691785198	0.000493721225476535
8	0.0142545913738378	0.000499720955615203
10	0.01216475007185	0.000502912987430775
12	0.0104800406460289	0.000504474319683998
14	0.00921932398266813	0.00050466858672388
16	0.00803477752905579	0.000504678807325296
18	0.00773593072159565	0.000504231208747074
20	0.00800428239233584	0.00050405916586387
22	0.00643881168561728	0.000503823829297854
24	0.00573648458935857	0.000503838522171952
26	0.00455061067946668	0.000503671715748059
28	0.00475728143877415	0.000503486320858641
30	0.00463621905619786	0.000503483839999333
32	0.00429128099904764	0.00050316409900568
34	0.00490134422489232	0.000502955938008735
36	0.00463257263423256	0.000502873701578189
38	0.00501694658181552	0.000502889722233486
40	0.00472578882909637	0.000502850064052825
42	0.00355480924627393	0.000502931259886497
44	0.00344617063913367	0.000502994929635236
46	0.0034001590950923	0.00050317678319334
48	0.00401020100131282	0.000503101614599762
50	0.00369044573321063	0.000502792366675952
52	0.00234040764174658	0.000502388354275407
54	0.00415736433744269	0.000501846244105575
56	0.00309374931397699	0.000501168122045629
58	0.00280182423681591	0.000500122499529366
60	0.00311610291297423	0.00049824279443408
