lagtime	NRF_p<1.301|all	NRF_p=1.301-2.608|all	NRF_p=2.608-3.921|all	NRF_p=3.921-5.233|all	NRF_p=5.233-6.543|all	NRF_p>6.543|all	se_p<1.301|all	se_p=1.301-2.608|all	se_p=2.608-3.921|all	se_p=3.921-5.233|all	se_p=5.233-6.543|all	se_p>6.543|all
0.666666666666667	-0.000638637689399742	0.0053587348541175	0.0164568749895729	0.0284224513914689	0.0518671929155467	0.0287564547182332	0.000781300364709895	0.00131262810930406	0.00193994195252979	0.00308892124344643	0.00390657517348331	0.00641536390756718
2	0.000511120980091595	0.0166053311045448	0.0461680408694989	0.0801178267005178	0.143679142172982	0.13011576580528	0.000472562116090974	0.000791921282572163	0.00127361051135928	0.00210031712060307	0.00272517722384216	0.0046508448673428
4	0.00312397829383522	0.0320732482724545	0.0838312202854759	0.129256629464455	0.198118435467716	0.177392364902535	0.000512722308612426	0.000863798016837618	0.00146391176713186	0.00244037598910441	0.00321604619056371	0.00557630504316107
6	0.00459781870466029	0.0353891898703568	0.0789024534323151	0.101145434273863	0.133116141550788	0.097201049000299	0.000534699739287588	0.000906634837968079	0.00159060311110091	0.00265359652129507	0.00352541436077243	0.00616803665664494
8	0.00723645263191092	0.0327946550652797	0.0630939577014067	0.0791090649154029	0.0943894831184615	0.0574301601811294	0.00054709442722864	0.000934614856945313	0.0016718837274206	0.00279114470005932	0.00372818625985139	0.00656266439490384
10	0.00732260002976521	0.0266226408598688	0.0477507032495143	0.0587058900060772	0.07377633330026	0.0461396495416595	0.000554380513702478	0.000954438441542131	0.00172681260175578	0.00288688532901119	0.00386645686242268	0.00682903155812289
12	0.00662078108594042	0.0218987174425123	0.0378697466272354	0.0429595737092768	0.0642765500154559	0.0449509666272464	0.000558546195688697	0.000968470252597485	0.00176408148498974	0.00294893653764778	0.00396192441691532	0.00701198681539669
14	0.00598253831412351	0.0191412687735896	0.0313605325462722	0.0326147645478438	0.0608753261913656	0.0451123762390837	0.000560127852801024	0.000979177131439394	0.0017896946216445	0.00299335735047918	0.00403517370522519	0.00714299523793121
16	0.00504642723111001	0.0170323416431833	0.0276019967185908	0.0306483041424669	0.0540799697082352	0.0332986594800291	0.000561324778415133	0.000986185083849732	0.0018102398066753	0.00302615463138174	0.00409144544619396	0.00724045044253733
18	0.00483094389674059	0.0162507609685726	0.0249324393574856	0.0278393822945893	0.0517601862060964	0.0279659900954642	0.000561683596134294	0.000990217735949108	0.00182519493609027	0.00304572365800156	0.00413446735548578	0.00731172501543564
20	0.00555190957875945	0.0156272077157045	0.0199926967306346	0.0275540512756887	0.0474207212477581	0.0135868245337113	0.000562024711990539	0.000992333410292153	0.00183665497447816	0.00305787709151573	0.0041630199792227	0.00735439768650317
22	0.00420878206697019	0.0133120225616461	0.0156125360337694	0.0254151457025768	0.0419150229690519	0.00678964710973665	0.000562111580242933	0.00099386837624706	0.00184652637968162	0.00306334565540565	0.0041835525103687	0.00738018841491338
24	0.004083852528914	0.0116716844211474	0.0129192514936349	0.020866587414861	0.042388907815569	0.0150782308147027	0.000562239241944273	0.000995572382575505	0.00185209641793049	0.00306720857354126	0.00419839672212343	0.00739950365230633
26	0.00317059251835362	0.00944566734459846	0.0092229896340854	0.0140871279076712	0.0442906443853061	0.0255006255622428	0.000562005428642377	0.000996989278366958	0.00185629756534082	0.00307066991580359	0.00420841109028448	0.0074146453431324
28	0.00318103665613968	0.00967906271532606	0.0122513469753324	0.0129505000800094	0.0361028195444188	0.0215514568916186	0.000561812593186309	0.000997669889734279	0.00185779468400165	0.00307213081333655	0.00421582158087416	0.00742722998043013
30	0.00318929960708776	0.0102257184878242	0.0117657820861105	0.0100561053649391	0.0264324785030476	0.00778804058266087	0.000561720934733515	0.000997545930272766	0.00185830644082301	0.00307332372529974	0.00422123570090857	0.0074358049348669
