lagtime	NRF_p<1.301|all	NRF_p=1.301-2.608|all	NRF_p=2.608-3.921|all	NRF_p=3.921-5.233|all	NRF_p=5.233-6.543|all	NRF_p>6.543|all	se_p<1.301|all	se_p=1.301-2.608|all	se_p=2.608-3.921|all	se_p=3.921-5.233|all	se_p=5.233-6.543|all	se_p>6.543|all
0.666666666666667	-0.000915029921766062	0.00499804002126175	0.018870162330279	0.0318451714994016	0.0552507501069456	0.0296808075611908	0.000876423189084924	0.00148646039623282	0.00220898422237339	0.00344929572182424	0.00438040594580601	0.00743994171589756
2	0.000539409708618715	0.0170446597338192	0.050167771446852	0.0853348234618887	0.151243672213073	0.133153252543986	0.000527239516206268	0.000891505614126172	0.0014382640452014	0.00235363879035793	0.00303470365105651	0.00538666846319706
4	0.00318148360052684	0.0332005026772498	0.0900128455324602	0.135606575073603	0.21165636960987	0.186461167763008	0.000571602808087723	0.000970534521957225	0.0016440919520624	0.00274435849854656	0.00356902812738624	0.00645273064343084
6	0.00463991132777122	0.0364385570216825	0.0826949293814532	0.100567092498797	0.137860702083916	0.100874712382081	0.000595106815129484	0.00101734290686846	0.00178536656220038	0.0029950053739758	0.00390858610528296	0.00713273111216948
8	0.00713430191840674	0.0335281168025263	0.0650276836528447	0.0761867206395367	0.0953114020986265	0.0589920493719312	0.000608837384487237	0.00104722732991995	0.00187264035146173	0.00315375339511252	0.00413572105816079	0.00759311967515562
10	0.00707247023160412	0.026737482482246	0.0490561636750427	0.0566224134323936	0.0752849202912492	0.047662800084436	0.000616928602051339	0.00106923372444043	0.00193273838085573	0.00326349632810697	0.00429070178449116	0.00790560131240414
12	0.00654474578603164	0.0221093500135947	0.0389823388085323	0.0407902274929954	0.0667367216814959	0.0472146097379782	0.000621686821681444	0.00108441856216799	0.00197382023664477	0.00333439337779979	0.00439843240907117	0.00812183067401889
14	0.00589379864097233	0.0194142216346109	0.0321507868590699	0.0300179088762528	0.0636743642647339	0.0470663009128218	0.00062349664234549	0.00109588684182723	0.00200174070089489	0.00338557337387632	0.00448292454061708	0.00827760084040276
16	0.00498900262088568	0.0173905939522431	0.0286284063131649	0.0292067355884561	0.0559444159810235	0.0332264515402907	0.000624854468534401	0.00110363279771096	0.00202509136056332	0.00342324359216197	0.00454794849299654	0.00839418762818127
18	0.00490814938947323	0.0168029295402107	0.0261139094765465	0.0273235455674687	0.0542684966514614	0.0273567782996484	0.000625215134517435	0.00110825120559897	0.00204184778956543	0.00344591223500467	0.0045989995766862	0.00847973850813984
20	0.00582386164434935	0.0164237596024311	0.0209317434672086	0.0275964275364469	0.0493272825035211	0.0110793278654918	0.000625628580011072	0.00111069078014777	0.00205453801924782	0.00345975255205094	0.00463169533945009	0.00852983598465438
22	0.00441398123280998	0.0142885606215212	0.0166437683504782	0.0257956995654475	0.0429910110856883	0.00353470171859125	0.000625648031858326	0.00111271162446625	0.00206611127664168	0.00346566716944861	0.00465638848116268	0.00856288423051088
24	0.00412447767232406	0.0119898562114386	0.0130761407897869	0.0204292809559335	0.0433976966319706	0.0127341911441877	0.000625806319875466	0.00111483207569456	0.00207232782637345	0.00347029102059292	0.00467440548423974	0.00858682183432452
26	0.00316448262588769	0.00970162186400555	0.00882988663925912	0.0127390652097759	0.0466897366230882	0.0249993113570121	0.00062550530644297	0.00111674799398296	0.00207686608722163	0.00347446587928188	0.00468638424673917	0.00860601895531557
28	0.00323739972862772	0.0102426184847373	0.0127210825710566	0.011684014105887	0.0382406743352176	0.021393095744541	0.000625211606983197	0.00111771551244184	0.00207812970794905	0.00347591741877271	0.00469525401077772	0.00862195274664572
30	0.00322384587564531	0.0108695869332964	0.012203090907552	0.00847651312297876	0.0265263288970338	0.00519098152440132	0.000625170982414902	0.00111756749231939	0.00207831061397057	0.00347736406879334	0.00470193423578468	0.00863303343059838
32	0.00297861082605091	0.0107385061695769	0.0110243082902161	0.00778637991445117	0.0191328933606107	-0.0064419082792745	0.000624626542152244	0.00111726206344336	0.00207850291380839	0.00347918991506733	0.00470476324012018	0.00863217751825428
34	0.0036720581816861	0.0118619748737433	0.0103828473391876	0.0066189507714462	0.0191097003556209	-0.00340992202936927	0.00062422806136488	0.00111747545475222	0.00207848290143399	0.00348071339147604	0.00470536089381137	0.00862869075906187
36	0.00353333796113619	0.0116996848856399	0.00805029680881002	0.00389794079653766	0.0170673579184292	-0.00449808235653043	0.000624083381563293	0.00111769728422467	0.00207893389148228	0.00348146609643202	0.00470547167063889	0.00862538257143411
38	0.00410886430448512	0.0118197899145181	0.00810956062221705	0.00462734630212979	0.0134001122471737	-0.00842793371583723	0.000624098837778418	0.00111790702488116	0.00207927855603675	0.00348224043241956	0.00470620283969023	0.00862224448089758
40	0.00399909582463792	0.0106330363933091	0.00722842328188586	0.00381171633321841	0.0109806659242134	-0.00153794816047654	0.000624137230087725	0.00111780757989074	0.00207938706273233	0.00348227014872571	0.00470693163899491	0.00862006185523068
42	0.00314372360158943	0.0076674422166722	0.00450207963257913	0.00256551992736308	0.00794952059857091	-0.0015212851342625	0.000624210551349518	0.00111755046341564	0.00208016506116901	0.00348236494283458	0.00470752568066234	0.00861801216268846
44	0.00292141801929495	0.00774256171038167	0.00490037542355779	0.00374532183447333	0.00941818171146936	-0.0034532811552153	0.000624296861908277	0.00111719660908968	0.00208257922588453	0.00348264393698444	0.0047086316704859	0.00861679217105443
46	0.00287897023393357	0.00725759187407369	0.00564175418195364	0.00634272620710583	0.00942386360953489	-0.00526566463218022	0.0006247608474987	0.00111632803155852	0.00208604982808234	0.00348294511150628	0.00471172618587684	0.00861692795380368
